0,A Dijiang,M
1,A Lamusi,M
2,Gunnar Nielsen Aaby,M
3,Edgar Lindenau Aabye,M
4,Christine Jacoba Aaftink,F
5,Per Knut Aaland,M
6,John Aalberg,M
7,"Cornelia ""Cor"" Aalten (-Strannood)",F
8,Antti Sami Aalto,M
9,"Einar Ferdinand ""Einari"" Aalto",M
10,Jorma Ilmari Aalto,M
11,Jyri Tapani Aalto,M
12,Minna Maarit Aalto,F
13,Pirjo Hannele Aalto (Mattila-),F
14,Arvo Ossian Aaltonen,M
15,Juhamatti Tapio Aaltonen,M
16,Paavo Johannes Aaltonen,M
17,Timo Antero Aaltonen,M
18,Win Valdemar Aaltonen,M
19,Kjetil Andr Aamodt,M
20,Ragnhild Margrethe Aamodt,F
21,Andreea Aanei,F
22,Fritz Aanes,M
23,Nils Egil Aaness,M
24,Alf Lied Aanning,M
25,Agnes Erika Aanonsen (-Eyde),F
26,Johan Aantjes,M
27,Jan-Erik Aarberg,M
28,Willemien Aardenburg,F
29,Pepijn Aardewijn,M
30,Evald rma (rman-),M
31,Olav Augunson Aarnes,M
32,Mika Lauri Aarnikka,M
33,Jamale (Djamel-) Aarrass (Ahrass-),M
34,Dagfinn Sverre Aarskog,M
35,Stefan Remco Aartsen,M
36,Ann Kristin Aarnes,F
37,Karl Jan Aas,M
38,Lars Thorlaksn Aas,M
39,Roald Edgar Aas,M
40,Rolf Aas,M
41,Thomas Valentin Aas,M
42,Morten Gjerdrum Aasen,M
43,Meelis Aasme,M
44,Hakon Aasns,M
45,Hans Aasns,M
46,Erling Rudolf Aastad,M
47,Abdelhak Aatakni,M
48,Moonika Aava,F
49,Arvi Aavik,M
50,Nstor Abad Sanjun,M
51,Patrick Abada,M
52,Talaat Abada,M
53,Mohamed Jamshid Abadi,M
54,Antonio Abadia Beci,M
55,Ren Abadie,M
56,Borislav Abadzhiev,M
57,Georgi Abadzhiev,M
58,Ivan Nikolov Abadzhiev,M
59,Mikhail Abadzhiev,M
60,Stefan Abadzhiev,M
61,Giovanni Abagnale,M
62,Jos Luis Abajo Gmez,M
63,M'Bairo Abakar,M
64,Patimat Abakarova,F
65,Mohamed Abakkar,M
66,Mariya Vasilyevna Abakumova (-Tarabina),F
67,Pablo Martn Abal,M
68,Tamara Abalde Daz,F
69,Jess Iory Aball Martnez,M
70,Juan Antonio Aball Delgado,M
71,Aleksey Aleksandrovich Abalmasov,M
72,Luc Abalo,M
73,Mara Laura Abalo,F
74,Giorgos Abalof,M
75,Jouan Patrice Abanda Etong,M
76,Antoine Abang,M
77,Salim Abanoz,M
78,Carlos Abarca Gonzlez,M
79,Jos Mara Abarca Plotas,M
80,Georgios Abaris,M
81,Enrique Abaroa Martnez,M
82,Carlos Arturo Abarza Chavez,M
83,Stephen Anthony Abas,M
84,Alejandro Abascal Garca,M
85,Jos Manuel Abascal Gmez,M
86,Rost'om Omeris dze Abashidze,M
87,Nunu Dzhansuhivna Abashydze (-Myslaieva),F
88,Rodrigo Abasolo,M
89,Tamila Rashidovna Abasova,F
90,Emanuele Abate,M
91,Ignazio Abate,M
92,Jol Marc Abati,M
93,Ral Abatte,M
94,Georgia Abatzidou,F
95,Carlos Rodolfo Abaunza Balladares,M
96,Carlos Alberto Abaunza,M
97,Hctor Abaunza,M
98,Pter Abay,M
99,Oszkr Abay-Nemes,M
100,Adeyemi Abayomi,M
101,Sayed Fahmy Abaza,M
102,Silvano Abba,M
103,Gana Abba Kimet,M
104,Ilyas Abbadi,M
105,Agostino Abbagnale,M
106,Carmine Abbagnale,M
107,Giuseppe Abbagnale,M
108,Abdul Latif Al-Sayed Abbas Youssef Hashem,M
109,Abubakar Abbas Abbas,M
110,Aqarab Abbas,M
111,Aziz Abbas,M
112,Bassim Abbas Kati Al-Ogaili,M
113,Essa Abbas Faleh Hashem,M
114,Ghulam Abbas,M
115,Hosni Mohamed Abbas,M
116,Maher Abbas,M
117,Mahmoud Abbas,M
118,Mohamed Fakhry Rifaat Abbas,M
119,Mohammed Abbas Sabih,M
120,Muhammad Abbas,M
121,Nader Sufyan Abbas,M
122,Sohail Abbas,M
123,Youssef Mohamed Abbas,M
124,Zulkifli Abbas,M
125,Forough Abbasi,F
126,Shakeel Abbasi,M
127,Soulmaz Abbasi Azad,F
128,Ruslan Abbasov,M
129,Tural Abbasov,M
130,Tran Abbasova,F
131,Simona Abbate,F
132,Franz Abb,M
133,Christian Abbiati,M
134,Lois Abbingh,F
135,Alessandro Abbio,M
136,Giordano Giulio Abbondati,M
137,Salwan Jasim Abbood Abbood,M
138,"George ""Ioannis"" Abbot",M
139,"William ""Bill"" Abbott Jr.",M
140,Clare Abbott,F
141,"David ""Dave"" Abbott",M
142,"Desmond ""Des"" Abbott",M
143,Geoffrey Grant Abbott,M
144,Jeremy Abbott,M
145,Joanne Abbott,F
146,"Kathryn ""Katie"" Abbott",F
147,Mara Katherine Abbott,F
148,Margaret Ives Abbott (-Dunne),F
149,Mary Perkins Ives Abbott (Perkins-),F
150,Matt Abbott,M
151,Monica Cecilia Abbott,F
152,Khadija Abbouda,F
153,Mohamed Ibrahim Abd El-Fatah Mohamed,M
154,Mahmoud Abd El-Kader,M
155,Mohamed Ibrahim Abd El-Salam,M
156,Noha Abd Rabo,F
157,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F
158,Ali Abdalla Afringi,M
159,Hossam Abdalla,M
160,Hosam Abdallah,M
161,Ismail Abdallah,M
162,Maged Abdallah,M
163,Nia Nicole Abdallah,F
164,Omari Abdallah,M
165,Ould Lamine Abdallah,M
166,Younis Abdallah Rabee,M
167,Raida Abdallah Bader,F
168,Maha Abdalsalam Gouda,F
169,Mahmoud Abdel Aziz,M
